Date,Time,"CPU Package Power [W]",
16.1.2026,20:24:44.936,4.799,
16.1.2026,20:24:45.449,4.589,
16.1.2026,20:24:45.945,4.411,
16.1.2026,20:24:46.444,4.543,
16.1.2026,20:24:46.957,4.484,
16.1.2026,20:24:47.455,4.393,
16.1.2026,20:24:47.970,4.690,
16.1.2026,20:24:48.482,4.636,
16.1.2026,20:24:48.996,4.497,
16.1.2026,20:24:49.492,4.726,
16.1.2026,20:24:49.992,4.464,
16.1.2026,20:24:50.488,7.383,
16.1.2026,20:24:50.994,19.967,
16.1.2026,20:24:51.485,22.543,
16.1.2026,20:24:51.992,22.734,
16.1.2026,20:24:52.498,21.433,
16.1.2026,20:24:53.018,5.669,
16.1.2026,20:24:53.531,5.363,
16.1.2026,20:24:54.045,4.745,
16.1.2026,20:24:54.558,4.648,
16.1.2026,20:24:55.058,4.781,
16.1.2026,20:24:55.556,4.797,
16.1.2026,20:24:56.056,4.579,
16.1.2026,20:24:56.555,4.573,
16.1.2026,20:24:57.069,4.593,
16.1.2026,20:24:57.568,4.344,
16.1.2026,20:24:58.081,4.880,
16.1.2026,20:24:58.595,4.440,
16.1.2026,20:24:59.111,4.665,
16.1.2026,20:24:59.627,4.584,
16.1.2026,20:25:0.123,4.616,
16.1.2026,20:25:0.635,5.163,
16.1.2026,20:25:1.132,4.853,
16.1.2026,20:25:1.631,4.581,
16.1.2026,20:25:2.130,4.851,
16.1.2026,20:25:2.640,9.118,
16.1.2026,20:25:3.152,19.562,
16.1.2026,20:25:3.657,22.130,
16.1.2026,20:25:4.173,23.217,
16.1.2026,20:25:4.677,19.729,
16.1.2026,20:25:5.196,5.578,
16.1.2026,20:25:5.694,5.207,
16.1.2026,20:25:6.194,5.248,
16.1.2026,20:25:6.693,4.944,
16.1.2026,20:25:7.191,4.876,
16.1.2026,20:25:7.690,5.173,
16.1.2026,20:25:8.187,5.480,
16.1.2026,20:25:8.700,4.733,
16.1.2026,20:25:9.212,4.954,
16.1.2026,20:25:9.712,4.555,
16.1.2026,20:25:10.208,4.552,
16.1.2026,20:25:10.704,4.836,
16.1.2026,20:25:11.203,4.569,
16.1.2026,20:25:11.717,4.586,
16.1.2026,20:25:12.232,4.829,
16.1.2026,20:25:12.745,4.598,
16.1.2026,20:25:13.244,4.866,
16.1.2026,20:25:13.745,4.788,
16.1.2026,20:25:14.243,4.582,
16.1.2026,20:25:14.737,10.955,
16.1.2026,20:25:15.243,18.010,
16.1.2026,20:25:15.732,18.010,
16.1.2026,20:25:16.234,20.517,
16.1.2026,20:25:16.734,21.337,
16.1.2026,20:25:17.238,10.475,
16.1.2026,20:25:17.745,5.456,
16.1.2026,20:25:18.243,5.236,
16.1.2026,20:25:18.743,4.928,
16.1.2026,20:25:19.243,4.928,
16.1.2026,20:25:19.742,4.835,
16.1.2026,20:25:20.239,4.915,
16.1.2026,20:25:20.739,4.698,
16.1.2026,20:25:21.235,4.923,
16.1.2026,20:25:21.748,4.926,
16.1.2026,20:25:22.260,4.740,
16.1.2026,20:25:22.774,4.775,
16.1.2026,20:25:23.271,4.864,
16.1.2026,20:25:23.767,4.632,
16.1.2026,20:25:24.266,4.910,
16.1.2026,20:25:24.779,5.988,
16.1.2026,20:25:25.290,5.821,
16.1.2026,20:25:25.789,4.965,
16.1.2026,20:25:26.289,4.723,
16.1.2026,20:25:26.785,5.881,
16.1.2026,20:25:27.291,6.112,
16.1.2026,20:25:27.785,16.704,
16.1.2026,20:25:28.290,22.110,
16.1.2026,20:25:28.784,23.570,
16.1.2026,20:25:29.310,19.659,
16.1.2026,20:25:29.826,5.411,
16.1.2026,20:25:30.322,5.334,
16.1.2026,20:25:30.821,4.983,
16.1.2026,20:25:31.321,4.930,
16.1.2026,20:25:31.815,5.115,
16.1.2026,20:25:32.312,5.670,
16.1.2026,20:25:32.826,4.973,
16.1.2026,20:25:33.340,6.210,
16.1.2026,20:25:33.838,6.215,
16.1.2026,20:25:34.337,4.578,
16.1.2026,20:25:34.838,4.722,
16.1.2026,20:25:35.334,4.676,
16.1.2026,20:25:35.834,4.804,
16.1.2026,20:25:36.334,4.906,
16.1.2026,20:25:36.833,4.834,
16.1.2026,20:25:37.334,4.832,
16.1.2026,20:25:37.831,4.648,
16.1.2026,20:25:38.344,4.651,
16.1.2026,20:25:38.842,4.817,
16.1.2026,20:25:39.363,9.950,
16.1.2026,20:25:39.868,16.797,
16.1.2026,20:25:40.373,19.586,
16.1.2026,20:25:40.862,20.581,
16.1.2026,20:25:41.367,16.500,
16.1.2026,20:25:41.873,5.520,
16.1.2026,20:25:42.371,5.270,
16.1.2026,20:25:42.871,5.196,
16.1.2026,20:25:43.369,5.146,
16.1.2026,20:25:43.865,4.900,
16.1.2026,20:25:44.363,5.064,
16.1.2026,20:25:44.862,4.823,
16.1.2026,20:25:45.362,4.774,
16.1.2026,20:25:45.858,4.574,
16.1.2026,20:25:46.372,4.800,
16.1.2026,20:25:46.884,4.772,
16.1.2026,20:25:47.384,5.032,
16.1.2026,20:25:47.883,4.690,
16.1.2026,20:25:48.379,4.750,
16.1.2026,20:25:48.879,5.005,
16.1.2026,20:25:49.376,4.683,
16.1.2026,20:25:49.890,4.805,
16.1.2026,20:25:50.404,4.770,
16.1.2026,20:25:50.918,4.654,
16.1.2026,20:25:51.409,9.516,
16.1.2026,20:25:51.905,7.215,
16.1.2026,20:25:52.414,5.936,
16.1.2026,20:25:52.908,5.715,
16.1.2026,20:25:53.417,7.446,
16.1.2026,20:25:53.913,6.097,
16.1.2026,20:25:54.418,8.966,
16.1.2026,20:25:54.924,9.345,
Date,Time,"CPU Package Power [W]",
,,CPU [#0]: AMD Ryzen 5 8645HS: Enhanced,
