Date,Time,"CPU Package Power [W]",
16.1.2026,20:19:6.574,4.508,
16.1.2026,20:19:7.071,5.980,
16.1.2026,20:19:7.565,5.787,
16.1.2026,20:19:8.069,17.754,
16.1.2026,20:19:8.577,44.215,
16.1.2026,20:19:9.063,41.313,
16.1.2026,20:19:9.564,42.103,
16.1.2026,20:19:10.071,43.162,
16.1.2026,20:19:10.572,42.591,
16.1.2026,20:19:11.074,41.482,
16.1.2026,20:19:11.565,41.926,
16.1.2026,20:19:12.075,28.939,
16.1.2026,20:19:12.590,6.205,
16.1.2026,20:19:13.090,4.621,
16.1.2026,20:19:13.587,6.230,
16.1.2026,20:19:14.087,4.524,
16.1.2026,20:19:14.584,4.830,
16.1.2026,20:19:15.080,4.806,
16.1.2026,20:19:15.594,4.365,
16.1.2026,20:19:16.109,4.264,
16.1.2026,20:19:16.622,4.771,
16.1.2026,20:19:17.136,4.362,
16.1.2026,20:19:17.635,4.550,
16.1.2026,20:19:18.133,4.332,
16.1.2026,20:19:18.629,4.619,
16.1.2026,20:19:19.130,4.367,
16.1.2026,20:19:19.644,4.366,
16.1.2026,20:19:20.142,4.359,
16.1.2026,20:19:20.656,4.408,
16.1.2026,20:19:21.169,4.457,
16.1.2026,20:19:21.672,4.373,
16.1.2026,20:19:22.183,20.110,
16.1.2026,20:19:22.671,43.489,
16.1.2026,20:19:23.190,41.288,
16.1.2026,20:19:23.695,42.623,
16.1.2026,20:19:24.187,41.893,
16.1.2026,20:19:24.690,43.342,
16.1.2026,20:19:25.195,41.879,
16.1.2026,20:19:25.702,41.774,
16.1.2026,20:19:26.202,19.075,
16.1.2026,20:19:26.715,5.231,
16.1.2026,20:19:27.216,4.993,
16.1.2026,20:19:27.727,4.268,
16.1.2026,20:19:28.226,4.559,
16.1.2026,20:19:28.726,4.222,
16.1.2026,20:19:29.222,4.598,
16.1.2026,20:19:29.736,4.433,
16.1.2026,20:19:30.235,4.448,
16.1.2026,20:19:30.750,4.599,
16.1.2026,20:19:31.263,4.543,
16.1.2026,20:19:31.762,4.170,
16.1.2026,20:19:32.260,4.641,
16.1.2026,20:19:32.757,4.185,
16.1.2026,20:19:33.257,4.497,
16.1.2026,20:19:33.772,4.313,
16.1.2026,20:19:34.271,4.753,
16.1.2026,20:19:34.771,4.295,
16.1.2026,20:19:35.273,4.303,
16.1.2026,20:19:35.764,3.965,
16.1.2026,20:19:36.270,31.821,
16.1.2026,20:19:36.774,41.689,
16.1.2026,20:19:37.280,40.032,
16.1.2026,20:19:37.799,42.162,
16.1.2026,20:19:38.318,42.490,
16.1.2026,20:19:38.822,42.103,
16.1.2026,20:19:39.325,42.401,
16.1.2026,20:19:39.818,39.739,
16.1.2026,20:19:40.316,5.690,
16.1.2026,20:19:40.831,4.836,
16.1.2026,20:19:41.330,4.655,
16.1.2026,20:19:41.844,4.361,
16.1.2026,20:19:42.358,4.446,
16.1.2026,20:19:42.876,4.304,
16.1.2026,20:19:43.391,4.621,
16.1.2026,20:19:43.906,4.234,
16.1.2026,20:19:44.420,4.341,
16.1.2026,20:19:44.936,4.187,
16.1.2026,20:19:45.448,4.390,
16.1.2026,20:19:45.948,4.223,
16.1.2026,20:19:46.446,4.223,
16.1.2026,20:19:46.959,4.251,
16.1.2026,20:19:47.474,4.481,
16.1.2026,20:19:47.988,4.318,
16.1.2026,20:19:48.505,4.493,
16.1.2026,20:19:49.017,4.578,
16.1.2026,20:19:49.516,4.642,
16.1.2026,20:19:50.021,14.390,
16.1.2026,20:19:50.530,41.123,
16.1.2026,20:19:51.032,41.384,
16.1.2026,20:19:51.535,41.682,
16.1.2026,20:19:52.040,41.353,
16.1.2026,20:19:52.544,41.635,
16.1.2026,20:19:53.053,42.097,
16.1.2026,20:19:53.566,17.262,
16.1.2026,20:19:54.082,5.518,
16.1.2026,20:19:54.597,4.931,
16.1.2026,20:19:55.109,4.371,
16.1.2026,20:19:55.623,4.570,
16.1.2026,20:19:56.137,4.430,
16.1.2026,20:19:56.650,4.466,
16.1.2026,20:19:57.150,4.463,
16.1.2026,20:19:57.664,4.512,
16.1.2026,20:19:58.163,4.429,
16.1.2026,20:19:58.662,4.572,
16.1.2026,20:19:59.179,4.421,
16.1.2026,20:19:59.692,4.584,
16.1.2026,20:20:0.191,4.401,
16.1.2026,20:20:0.689,5.110,
16.1.2026,20:20:1.189,4.438,
16.1.2026,20:20:1.702,4.407,
16.1.2026,20:20:2.229,4.472,
16.1.2026,20:20:2.729,4.273,
16.1.2026,20:20:3.226,4.615,
16.1.2026,20:20:3.729,36.026,
16.1.2026,20:20:4.232,42.041,
16.1.2026,20:20:4.752,40.887,
16.1.2026,20:20:5.259,41.150,
16.1.2026,20:20:5.749,41.310,
16.1.2026,20:20:6.261,28.636,
16.1.2026,20:20:6.760,5.350,
16.1.2026,20:20:7.258,4.938,
16.1.2026,20:20:7.773,4.466,
16.1.2026,20:20:8.271,4.398,
16.1.2026,20:20:8.769,4.308,
16.1.2026,20:20:9.268,4.540,
16.1.2026,20:20:9.784,4.257,
16.1.2026,20:20:10.282,4.603,
16.1.2026,20:20:10.796,4.178,
16.1.2026,20:20:11.309,4.566,
16.1.2026,20:20:11.807,4.299,
16.1.2026,20:20:12.307,4.536,
16.1.2026,20:20:12.807,4.384,
16.1.2026,20:20:13.307,4.490,
16.1.2026,20:20:13.806,4.212,
16.1.2026,20:20:14.307,4.693,
16.1.2026,20:20:14.806,4.271,
16.1.2026,20:20:15.320,4.710,
16.1.2026,20:20:15.833,4.332,
16.1.2026,20:20:16.328,9.464,
16.1.2026,20:20:16.834,5.938,
Date,Time,"CPU Package Power [W]",
,,CPU [#0]: AMD Ryzen 5 8645HS: Enhanced,
